Name,Power (W),Area (m2),Efficiency,Price (€),Link
PV Panels,,,,,
Talesun Bistar 450W TP6L72M,450,2.1,0.2,179.69,https://suministrosdelsol.com/en/photovoltaic-panels/1227-Talesun-Bistar-450W-TP6L72M-mono-perc-solar-panel.html
XUNZEL AD350,300,0.8844,0.2,359,https://www.leroymerlin.pt/Produtos/Eletricidade-e-domotica/Energias-renovaveis/WPR_REF_17102092
PAINEL SOLAR RISEN 410W MONOCRYSTALLINE 144 CELLS,400,2.02,0.209,230,https://greenice.com/pt/modulos-solares/18452-painel-solar-risen-410w-monocrystalline-144-cells-8445152004971.html?currency=EUR&wt_ga=101787014103_443947817426&wt_kw=_101787014103_&gclid=Cj0KCQjw5JSLBhCxARIsAHgO2Sd5Glv8H28n9PpS2LiaY3hv94WxHHMJlEmpprno8eFRYncOF6QiHdsaAmWAEALw_wcB
Longi 435W LR4-72HPH 435/MR Solar Panel,435,2.17,0.212,120,https://suministrosdelsol.com/en/solar-panels-up-to-450w/1223-longi-435w-lr472hph-hc-solar-panel.html
JA Solar 455W JAM72S20 455/MR Solar Panel,455,2.23,0.2,177.7,https://suministrosdelsol.com/en/photovoltaic-panels/995-jasolar-455w-jam72s20-hc-solar-panel.html
High Efficiency LG NeON LG375N1K-A6,375,1.81308,0.2007,298,https://www.lg.com/us/business/neon-2/lg-lg375n1k-a6#
Modulo fotovoltaico Risen 405w mono perc 144 cel,405,3.984,0.204,149,https://www.leroymerlin.es/fp/82758024/modulo-fotovoltaico-risen-405w-mono-perc-144-cel#fichaTecnica
PV Systems (Panel+Inverter),,,,,
XUNZEL AD500,500,0.88,0.2,539,https://www.leroymerlin.pt/Produtos/Eletricidade-e-domotica/Energias-renovaveis/WPR_REF_17102113?gclid=Cj0KCQjwwY-LBhD6ARIsACvT72M3ae7UiAursvKUCRbZ-3Fg54wR62yu6-sYcffSabNdtrpKcxUb_ksaAirnEALw_wcB
Kit De Autoconsumo Solar Monofásico De 1kW XS Com Excedentes,1000,6,0.2,905,https://www.damiasolar.com/pt/kits-solares-autoconsumo/kit-de-autoconsumo-solar-monofasico-de-1kw-xs-com-excedentes.html#/46-estructura-sem_alterar_a_estrutura_incluindo_a_estrutura_coplanar/66-home_kit_monofasico-sin_home_kit_monofasico_para_monitorizar_la_produccion
KIT Solar 3000 W sem bateria,3000,16,0.2,2089,https://www.efectoled.com/pt/comprar-kits-solar-conexao-a-rede/86116-kit-autoconsumo-fotovoltaico-para-viviendas-sin-baterias-3-5kw-monitoreo-wifi.html?id_c=172810&gclid=EAIaIQobChMIiueivKD88wIVTeR3Ch23oA-CEAYYAiABEgL8hfD_BwE&gclsrc=aw.ds
PV Systems (Panel+Inverter+Battery),,,,,
Kit solar fotovoltaico PACK ZERO+ XUNZEL-AD3900-3-IXS,1200,6.52,0.2,4299,https://www.leroymerlin.pt/Produtos/Eletricidade-e-domotica/Energias-renovaveis/WPR_REF_82649933?gclid=Cj0KCQjw5JSLBhCxARIsAHgO2SezBOV7NQivSHgi26NB0spwZNv1Fim1ejEtj0FmBvSv9pGdBcSYaDgaAm8_EALw_wcB
